"Espace réservé au service 
du contrôle financier
Le               


 A                ",,"République Algerienne démoctatique et populaire
        Bon de commande
        N° 37 2004-05-28",,,
,,Identification du service,,,
,,-Dénomination : Ecole,,,
,,-Code Gestionnaire,,,
,,-Adresse :,,,
,,-Téléphone et Fax,,,
,,Identification du prestataire,,,
,,Nom et prénom EURL YAPAP,,,
,,Ou Raison Sociale: EURL YAPAP,,,
,,Agissant pour le compte,,,
,,Adresse 28 Rue Ghrab Mohamed Mascara,,,
,,Telephone et fax:048-74-17-17/048-74-74-74,,,
,,N° R.C : 31/03-0112265 B 23,,,N.I.F : 1131011223274
,,N° d’agrément :,,,N.I.S : 
,,RIB (ou RIP) :002.00065.89.075.62.611.36,,,
,,,,,
Caractéristique de la commande,,,,,
TRUE,Materiel,,,,Objet de la commande: Papier d'enseignement
FALSE,Fourniture,,,,
FALSE,Service,,,,
N°,,Désignation,Quantité,Prix unitaire,Montant
1,,Duplicopieur - Monochrome - A4,4,55,220.00
2,,Duplicopieur - Monochrome - A3,4,35,140.00
,,,Total HT,,360.00
,,,TVA 19%,,68.00
,,,Total TTC,,428.00
,,,,,
Arrêté le présent bon de commande à la somme de (en lettres) : ,,,,,
quatre-cent-vingt-huit dinars algérien,,,,,
-Le prestataire s'engage à s'executer la presente commande selon les conditions arretées,,,,,
-La source de financement : le budget de fonctionnement de l'école 2023,,,,,
-Le délai de livraison ou d'éxécution est éstimé à (60jours) à compter de la date de signature du present bon de commande,,,,,
,,,,,
,,,,,
,,,,,
,,,,le directeur,
